dir,t_in,t_out,entry,exit,lots,move,pnl,reason,bal,p10,p30,h4body,mfe,mae,_b
-1,2026-06-11 01:10:00,2026-06-11 03:10:00,4051.0,4043.28,0.01,7.7199999999998,7.7199999999998,TIME,10085.959999999994,87.83086686284528,1.0312328003842464,1.506289178688059,26.909999999999854,-18.450000000000273,Q4 high
-1,2026-06-11 15:11:00,2026-06-11 17:11:00,4076.25,4057.9300000000003,0.01,18.31999999999971,18.31999999999971,TIME,10104.279999999993,77.57011761285058,1.2370199864418876,0.5360858343063897,18.919999999999618,-16.620000000000346,Q3
1,2026-06-11 22:05:00,2026-06-12 01:00:00,4174.46,4219.27,0.01,44.8100000000004,44.8100000000004,TIME,10149.089999999993,86.61334387491108,0.9177942762387857,0.2279930007864513,45.4399999999996,-4.8400000000001455,Q2
1,2026-06-12 01:55:00,2026-06-12 03:15:00,4234.99,4209.99,0.01,-25.0,-25.0,SL,10124.089999999993,93.45541700375858,0.9068378468034869,0.8735645766136259,11.340000000000146,-27.599999999999454,Q3
1,2026-06-12 12:03:00,2026-06-12 14:03:00,4222.41,4210.04,0.01,-12.36999999999989,-12.36999999999989,TIME,10111.719999999994,73.31967976441791,0.4260674495119592,0.811132147041421,5.569999999999709,-19.609999999999673,Q3
1,2026-06-12 20:54:00,2026-06-12 22:54:00,4224.33,4206.02,0.01,-18.30999999999949,-18.30999999999949,TIME,10093.409999999994,64.82101708762892,0.44323898287122787,0.6529587429453018,11.11999999999989,-22.460000000000036,Q3
1,2026-06-15 03:03:00,2026-06-15 05:03:00,4295.320000000001,4321.37,0.01,26.049999999999272,26.049999999999272,TIME,10119.459999999994,75.21437204449649,0.3053499221924985,1.1098216723412404,26.279999999999745,-9.830000000000837,Q4 high
1,2026-06-15 05:04:00,2026-06-15 07:04:00,4323.29,4323.89,0.01,0.6000000000003638,0.6000000000003638,TIME,10120.059999999994,76.3046267608439,0.8561466333671419,1.3978026539232329,12.149999999999636,-3.180000000000291,Q4 high
1,2026-06-15 14:40:00,2026-06-15 16:40:00,4347.0,4363.04,0.01,16.039999999999964,16.039999999999964,TIME,10136.099999999995,87.79085307827228,0.792484016224447,1.7278971729591452,19.640000000000327,-22.449999999999818,Q4 high
1,2026-06-16 12:00:00,2026-06-16 14:00:00,4347.28,4348.9,0.01,1.6199999999998909,1.6199999999998909,TIME,10137.719999999994,82.08385610438341,0.927995614813082,0.588790837861746,1.6400000000003274,-8.88000000000011,Q3
-1,2026-06-17 11:40:00,2026-06-17 13:40:00,4320.28,4329.9400000000005,0.01,-9.660000000000764,-9.660000000000764,TIME,10128.059999999994,70.22087705192716,0.9618339472108149,0.13131575325100792,2.4199999999991633,-15.63000000000011,Q1 low
1,2026-06-17 17:05:00,2026-06-17 19:05:00,4340.95,4362.82,0.01,21.86999999999989,21.86999999999989,TIME,10149.929999999993,56.1153662693513,0.26174037422157737,0.028525515497680756,24.75,-10.11999999999989,Q1 low
1,2026-06-17 19:20:00,2026-06-17 21:00:00,4365.650000000001,4340.650000000001,0.01,-25.0,-25.0,SL,10124.929999999993,88.69386415865442,0.9262977976694104,0.38513132750781487,16.829999999999018,-28.350000000000364,Q2
-1,2026-06-18 09:16:00,2026-06-18 11:16:00,4296.87,4287.24,0.01,9.63000000000011,9.63000000000011,TIME,10134.559999999994,55.61225416361428,0.5071635020211462,0.1448705720916817,12.420000000000073,-12.850000000000364,Q1 low
-1,2026-06-18 11:16:00,2026-06-18 13:16:00,4286.94,4269.0,0.01,17.9399999999996,17.9399999999996,TIME,10152.499999999993,73.88808760250582,0.2840373588284476,0.2031597969506665,27.049999999999272,-3.350000000000364,Q1 low
-1,2026-06-18 14:02:00,2026-06-18 16:02:00,4252.05,4246.5,0.01,5.550000000000182,5.550000000000182,TIME,10158.049999999992,80.87520430066355,0.8273235065537629,0.7801277329435493,11.829999999999927,-17.420000000000073,Q3
-1,2026-06-19 01:40:00,2026-06-19 03:40:00,4203.62,4187.110000000001,0.01,16.50999999999931,16.50999999999931,TIME,10174.55999999999,76.65931930455078,0.42610067422837267,1.344939182128131,19.05999999999949,-7.3100000000004,Q4 high
-1,2026-06-19 03:40:00,2026-06-19 05:40:00,4186.81,4179.88,0.01,6.930000000000291,6.930000000000291,TIME,10181.48999999999,83.41385887613804,1.067537377756766,1.543723052968746,11.329999999999927,-8.0,Q4 high
-1,2026-06-19 05:51:00,2026-06-19 07:51:00,4175.03,4134.59,0.01,40.4399999999996,40.4399999999996,TIME,10221.92999999999,75.82231768208374,0.8456970744646344,1.6442564535377449,41.47999999999956,-2.5700000000006185,Q4 high
1,2026-06-22 13:03:00,2026-06-22 15:03:00,4209.64,4208.64,0.01,-1.0,-1.0,TIME,10220.92999999999,66.83057438159004,0.2841393925870625,0.40595095177048757,5.6899999999996,-8.200000000000728,Q2
-1,2026-06-23 06:00:00,2026-06-23 08:00:00,4146.92,4118.4800000000005,0.01,28.4399999999996,28.4399999999996,TIME,10249.369999999988,88.91208995960164,1.4230657318069062,0.4186469956527916,31.88000000000011,-3.0399999999999636,Q2
-1,2026-06-23 08:32:00,2026-06-23 10:32:00,4119.62,4116.96,0.01,2.6599999999998545,2.6599999999998545,TIME,10252.029999999988,83.20274851168196,0.873558484549853,0.8962329414711577,9.109999999999673,-14.409999999999854,Q3
-1,2026-06-23 11:01:00,2026-06-23 12:59:00,4097.53,4122.53,0.01,-25.0,-25.0,SL,10227.029999999988,75.11523955289042,0.36638055574764644,1.45289097884687,6.339999999999691,-25.050000000000182,Q4 high
-1,2026-06-24 02:06:00,2026-06-24 04:06:00,4097.46,4070.28,0.01,27.179999999999836,27.179999999999836,TIME,10254.209999999988,84.98003290373343,1.2451205616148737,0.7702604222136171,27.889999999999873,-14.909999999999854,Q3
-1,2026-06-24 05:33:00,2026-06-24 07:33:00,4066.94,4065.3700000000003,0.01,1.569999999999709,1.569999999999709,TIME,10255.779999999988,90.3001689764919,0.8440340509499797,0.873836561303949,16.289999999999964,-5.210000000000036,Q3
-1,2026-06-24 14:05:00,2026-06-24 16:05:00,4052.04,3980.25,0.01,71.78999999999996,71.78999999999996,TIME,10327.569999999989,87.59829566072868,1.2838266775618121,0.9644381437277533,80.06999999999971,-4.440000000000055,Q4 high
